#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
4S|A167|37.69343165|14.974424|1756.36|Point A167 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A168|37.69344228|14.97442196|1756.3|Point A168 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A169|37.69344679|14.97441152|1756.33|Point A169 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A170|37.69345129|14.97440108|1756.35|Point A170 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A171|37.6934558|14.97439064|1756.38|Point A171 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A172|37.6934603|14.97438021|1756.41|Point A172 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A173|37.69346481|14.97436966|1756.43|Point A173 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A174|37.69346931|14.97435922|1756.46|Point A174 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A175|37.69347381|14.97434878|1756.48|Point A175 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A176|37.69347832|14.97433835|1756.51|Point A176 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A177|37.69348282|14.97432791|1756.54|Point A177 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A178|37.69348733|14.97431747|1756.56|Point A178 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A179|37.69349183|14.97430704|1756.59|Point A179 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A180|37.69349634|14.9742966|1756.62|Point A180 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A181|37.69350084|14.97428616|1756.64|Point A181 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A182|37.69350535|14.97427573|1756.67|Point A182 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A183|37.69350985|14.97426517|1756.69|Point A183 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A184|37.69351435|14.97425474|1756.72|Point A184 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A185|37.69351886|14.9742443|1756.75|Point A185 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A186|37.69352336|14.97423386|1756.77|Point A186 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A187|37.69352787|14.97422343|1756.8|Point A187 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A188|37.69353237|14.97421299|1756.83|Point A188 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A189|37.69353688|14.97420255|1756.85|Point A189 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A190|37.69354138|14.97419212|1756.88|Point A190 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A191|37.69354588|14.97418168|1756.91|Point A191 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
