# per-window evidence behind the reported selection
# estimator=phase reference=first looks=256 overlap=0 dt_s=0.0234529732963 t_sap_s=0.0234529732963
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=1.83212377625 agree=9 voting=225 distinct=75 largest_block=4
# modal_lead_hz=0
# df_hz=0.166556706932 quant_px=0 coherence_gate=0.377156494328 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=1.33245365546 agree=8 input=225 survivors=88 snr_cull=0 sigma_cull=0 neigh_cull=137 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.471822627513 median=0.54483148903 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=88
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,floor_mm
115,7,10,7.82816522581,7.70938003049,0.614404000462,0,0,0,0.549014586115,1,0,0,0.412685371066
116,7,11,1.66556706932,6.04406369761,0.686245230657,0,0,0,0.535346269295,1,0,0,0.435682018121
117,7,12,1.66556706932,6.04406369761,0.691222233359,0,0,0,0.535346269295,1,0,0,0.435682018121
118,7,13,12.9914231407,5.01050450183,0.727951863967,0,0,0,0.569029120897,1,0,1,0.389130521497
119,7,14,12.9914231407,5.01050450183,0.754312988657,0,0,0,0.569029120897,1,0,1,0.389130521497
120,8,0,5.32981462183,4.78927490735,0.69302783377,0,0,0,0.628457406683,1,0,1,0.36215219254
121,8,1,5.32981462183,4.78927490735,0.718545767949,0,0,0,0.628457406683,1,0,1,0.36215219254
122,8,2,1.16589694852,5.4876364466,0.685334102334,0,0,0,0.518318814337,1,0,0,0.404052999687
123,8,3,12.6583097268,5.70588997034,0.711542773509,0,0,0,0.560992152203,1,0,0,0.432008172627
124,8,4,2.99802072478,3.96658559818,0.735202256104,0,0,0,0.595592727266,1,0,1,0.456196315746
125,8,5,2.99802072478,3.96658559818,0.719615047004,0,0,0,0.595592727266,1,0,1,0.456196315746
126,8,6,3.66424755251,5.44672593832,0.719170692303,0,0,0,0.562755163552,1,0,0,0.471220465761
127,8,7,0.999340241593,6.21484303852,0.667438177216,0,0,0,0.525071420497,1,0,0,0.419571013031
128,8,8,4.49703108717,5.15313304413,0.684967519866,0,0,0,0.545320143829,1,0,0,0.362679013899
129,8,9,7.82816522581,7.70938003049,0.59946781052,0,0,0,0.549014586115,1,0,0,0.412685371066
130,8,10,7.82816522581,7.70938003049,0.628130705429,0,0,0,0.549014586115,1,0,1,0.412685371066
131,8,11,0.999340241593,7.13229052845,0.702837068839,0,0,0,0.492398179272,1,0,1,0.442289035208
132,8,12,0.999340241593,7.13229052845,0.711079194919,0,0,0,0.492398179272,1,0,0,0.442289035208
133,8,13,7.82816522581,4.82388759655,0.686287872704,0,0,0,0.546039428378,1,0,0,0.414981577232
134,8,14,7.82816522581,4.82388759655,0.712969625066,0,0,0,0.546039428378,1,0,0,0.414981577232
135,9,0,5.32981462183,4.78927490735,0.703228946424,0,0,0,0.628457406683,1,0,1,0.36215219254
136,9,1,5.32981462183,4.78927490735,0.703500436073,0,0,0,0.628457406683,1,0,1,0.36215219254
137,9,2,11.8255261922,6.46696008161,0.634607072893,0,0,0,0.521957838913,1,0,0,0.405526389164
138,9,3,7.49505181195,4.12445480484,0.719860215636,0,0,0,0.579663686597,1,0,0,0.422242805475
139,9,4,2.99802072478,3.96658559818,0.73704211008,0,0,0,0.595592727266,1,0,1,0.456196315746
140,9,5,2.99802072478,3.96658559818,0.707945838706,0,0,0,0.595592727266,1,0,1,0.456196315746
141,9,6,14.1573200892,4.60989354097,0.712878651016,0,0,0,0.577254004841,1,0,0,0.403845237704
142,9,7,0.999340241593,6.21484303852,0.658788217047,0,0,0,0.525071420497,1,0,0,0.419571013031
143,9,8,19.8202481249,4.13264417992,0.645670694068,0,0,0,0.593190072031,1,0,0,0.438172102013
144,9,9,8.32783534661,4.62796466724,0.603790958993,0,0,0,0.551297391671,1,0,1,0.418114215334
145,9,10,8.32783534661,4.62796466724,0.627715151088,0,0,0,0.551297391671,1,0,1,0.418114215334
146,9,11,0.999340241593,7.13229052845,0.714888725214,0,0,0,0.492398179272,1,0,0,0.442289035208
147,9,12,11.4924127783,3.98010784232,0.730721440071,0,0,0,0.499151252271,1,0,1,0.406085054264
148,9,13,11.4924127783,3.98010784232,0.749024335216,0,0,0,0.499151252271,1,0,1,0.406085054264
149,9,14,19.9868048319,4.80951080196,0.698824887547,0,0,0,0.523648567458,1,0,0,0.407450192258
150,10,0,13.8242066754,4.34037323398,0.722390971045,0,0,0,0.588819166974,1,0,1,0.383786835868
151,10,1,13.8242066754,4.34037323398,0.702436838032,0,0,0,0.588819166974,1,0,1,0.383786835868
152,10,2,1.83212377625,3.75922730674,0.671306877955,0,0,0,0.565302048617,1,1,1,0.423539478296
153,10,3,1.83212377625,3.75922730674,0.691223127266,0,0,0,0.565302048617,1,1,1,0.423539478296
154,10,4,1.49901036239,6.49261561521,0.709637061976,0,0,0,0.617073422655,1,0,0,0.42429426335
155,10,5,0.499670120796,5.42843794807,0.708044043643,0,0,0,0.5348131966,1,0,1,0.431070559383
156,10,6,0.499670120796,5.42843794807,0.734083031014,0,0,0,0.5348131966,1,0,1,0.431070559383
157,10,7,20.4864749527,4.79072067417,0.626365474766,0,0,0,0.542251626257,1,0,0,0.418118423577
158,10,8,13.6576499684,3.88138528699,0.606175443835,0,0,0,0.552304463566,1,0,0,0.425773932122
159,10,9,8.32783534661,4.62796466724,0.624207602029,0,0,0,0.551297391671,1,0,1,0.418114215334
160,10,10,8.32783534661,4.62796466724,0.629180397116,0,0,0,0.551297391671,1,0,1,0.418114215334
161,10,11,14.823546917,4.88445715563,0.696332582338,0,0,0,0.516941331816,1,0,0,0.447809790054
162,10,12,11.4924127783,3.98010784232,0.731964538889,0,0,0,0.499151252271,1,0,1,0.406085054264
163,10,13,11.4924127783,3.98010784232,0.752635719787,0,0,0,0.499151252271,1,0,1,0.406085054264
164,10,14,13.6576499684,3.77306546647,0.656872717724,0,0,0,0.539539845055,1,0,0,0.396969501382
165,11,0,13.8242066754,4.34037323398,0.724867879507,0,0,0,0.588819166974,1,0,1,0.383786835868
166,11,1,13.8242066754,4.34037323398,0.691995908586,0,0,0,0.588819166974,1,0,1,0.383786835868
167,11,2,1.83212377625,3.75922730674,0.677806859242,0,0,0,0.565302048617,1,1,1,0.423539478296
168,11,3,1.83212377625,3.75922730674,0.698842122001,0,0,0,0.565302048617,1,1,1,0.423539478296
169,11,4,3.16457743171,8.73265822385,0.686826061597,0,0,0,0.587907462828,1,0,0,0.41319667482
170,11,5,0.499670120796,5.42843794807,0.703668234842,0,0,0,0.5348131966,1,0,1,0.431070559383
171,11,6,0.499670120796,5.42843794807,0.720756299207,0,0,0,0.5348131966,1,0,1,0.431070559383
172,11,7,0.666226827729,3.86908847994,0.69914036613,0,0,0,0.507729467155,1,0,0,0.429173037744
173,11,8,13.6576499684,3.88138528699,0.61554884633,0,0,0,0.552304463566,1,0,0,0.425773932122
174,11,9,4.33047438024,5.42546929354,0.650349946672,0,0,0,0.514318706355,1,0,0,0.371993699058
175,11,10,4.33047438024,5.42546929354,0.632335591262,0,0,0,0.514318706355,1,0,0,0.371993699058
176,11,11,20.9861450734,5.47780163791,0.690230949741,0,0,0,0.549466063367,1,0,0,0.412055339099
177,11,12,3.83080425944,3.13548305821,0.688025690087,0,0,0,0.536312860195,1,0,0,0.41248555826
178,11,13,3.83080425944,3.13548305821,0.732342627529,0,0,0,0.536312860195,1,0,0,0.41248555826
179,11,14,10.9927426575,5.39255533253,0.662301621794,0,0,0,0.531707089374,1,0,0,0.473788985071
180,12,0,12.6583097268,6.28360206134,0.715859526311,0,0,0,0.583552955304,1,0,1,0.421450140543
181,12,1,12.6583097268,6.28360206134,0.67998690602,0,0,0,0.583552955304,1,0,1,0.421450140543
182,12,2,0.832783534661,5.24172660503,0.707009284501,0,0,0,0.539232811833,1,0,0,0.374728019559
183,12,3,16.8222274001,6.37818333855,0.686628933729,0,0,0,0.589076631912,1,0,0,0.40269788883
184,12,4,20.3199182457,3.9530832066,0.636525518518,0,0,0,0.535936390953,1,0,0,0.367332519073
185,12,5,3.66424755251,5.34194874513,0.696388803754,0,0,0,0.532992235287,1,0,0,0.467958851945
186,12,6,3.66424755251,5.34194874513,0.695144455677,0,0,0,0.532992235287,1,0,0,0.467958851945
187,12,7,16.3225572793,6.46345778791,0.693692433071,0,0,0,0.571442502424,1,0,0,0.48632378473
188,12,8,14.823546917,4.26522367607,0.596379333797,0,0,0,0.497207059758,1,0,0,0.372242093222
189,12,9,16.4891139863,4.83112457285,0.658749436484,0,0,0,0.524418589573,1,0,0,0.373726954069
190,12,10,4.99670120796,5.45407406084,0.631854134802,0,0,0,0.545127908459,1,0,0,0.413258578454
191,12,11,6.49571157035,4.75505953972,0.670220729341,0,0,0,0.539554296957,1,0,0,0.405516933162
192,12,12,1.83212377625,5.32620315278,0.678256283998,0,0,0,0.558322900179,1,1,1,0.438547997991
193,12,13,1.83212377625,5.32620315278,0.722816065738,0,0,0,0.558322900179,1,1,1,0.438547997991
194,12,14,14.1573200892,6.11577130836,0.613260813305,0,0,0,0.537048833339,1,0,0,0.459175330039
195,13,0,12.6583097268,6.28360206134,0.718054470568,0,0,0,0.583552955304,1,0,1,0.421450140543
196,13,1,12.6583097268,6.28360206134,0.686994666987,0,0,0,0.583552955304,1,0,1,0.421450140543
197,13,2,0.832783534661,5.24172660503,0.681848132758,0,0,0,0.539232811833,1,0,0,0.374728019559
198,13,3,16.8222274001,6.37818333855,0.686676801228,0,0,0,0.589076631912,1,0,0,0.40269788883
199,13,4,3.33113413864,6.65029114772,0.701225417942,0,0,0,0.524182664925,1,0,1,0.38744489697
200,13,5,3.33113413864,6.65029114772,0.667458537642,0,0,0,0.524182664925,1,0,1,0.38744489697
201,13,6,19.8202481249,7.87831231699,0.682187886552,0,0,0,0.55512228965,1,0,1,0.431026872077
202,13,7,19.8202481249,7.87831231699,0.685052759087,0,0,0,0.55512228965,1,0,1,0.431026872077
203,13,8,7.82816522581,5.33247252794,0.626698998891,0,0,0,0.567785198559,1,0,0,0.412375658118
204,13,9,7.82816522581,5.33247252794,0.657329240807,0,0,0,0.567785198559,1,0,0,0.412375658118
205,13,10,4.99670120796,5.45407406084,0.649234595339,0,0,0,0.545127908459,1,0,0,0.413258578454
206,13,11,2.66490731091,4.18003857798,0.64774916514,0,0,0,0.541822071026,1,0,0,0.38325486565
