# per-window evidence behind the reported selection
# consensus_hz=0.195402297397 agree=27 voting=170 distinct=12 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.309742440838 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.0651340991323 agree=18 input=170 survivors=65 snr_cull=0 sigma_cull=0 neigh_cull=105 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,passed_gates,agrees_with_consensus,passed_cull
200,13,5,0.0977011486984,5.28041830073,0.356036872215,0,0,0,1,0,1
201,13,6,0.293103446095,6.0297851889,0.50686303347,0,0,0,1,0,1
202,13,7,0.293103446095,6.0297851889,0.50686303347,0,0,0,1,0,1
203,13,8,0.0325670495661,12.287202258,0.443475326312,0,0,0,1,0,1
204,13,9,0.0977011486984,7.98079622326,0.000617545487018,0,0,0,0,0,0
205,13,10,0.162835247831,8.13662816386,0,0,0,0,0,0,0
206,13,11,0.162835247831,8.13662816386,0,0,0,0,0,0,0
207,13,12,0.0651340991323,3.23062251372,0.0839352318265,0,0,0,0,0,0
208,13,13,0.162835247831,3.87245394918,0.223777907247,0,0,0,0,0,0
209,13,14,0.0325670495661,9.09978161516,0.541533564992,0,0,0,1,0,1
210,14,0,0.358237545227,5.58676159097,0.0838958304005,0,0,0,0,0,0
211,14,1,0.227969346963,7.09627533446,0.3539560667,0,0,0,1,0,1
212,14,2,0.227969346963,7.09627533446,0.3539560667,0,0,0,1,0,1
213,14,3,0.260536396529,6.91957705793,0.288459478342,0,0,0,0,0,0
214,14,4,0.0325670495661,7.71967343879,0.226809900903,0,0,0,0,0,0
215,14,5,0.0977011486984,5.28041830073,0.356036872215,0,0,0,1,0,1
216,14,6,0.0977011486984,5.28041830073,0.356036872215,0,0,0,1,0,1
217,14,7,0.130268198265,16.2736869085,0.431615873548,0,0,0,1,0,1
218,14,8,0.911877387852,4.48210800719,0.175826054253,0,0,0,0,0,0
219,14,9,0.0977011486984,7.98079622326,0.000617545487018,0,0,0,0,0,0
220,14,10,0.0977011486984,7.98079622326,0.000617545487018,0,0,0,0,0,0
221,14,11,0.195402297397,6.161393929,0.126331721293,0,0,0,0,0,0
222,14,12,0.195402297397,6.161393929,0.126331721293,0,0,0,0,0,0
223,14,13,0.0977011486984,14.2293268741,0.395975705214,0,0,0,1,0,1
224,14,14,0.0325670495661,9.09978161516,0.541533564992,0,0,0,1,0,1
