scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes,rms_um,peak_um,chan,note
CAPELLA_C10_SP_CPHD_HH_20240622045032_20240622045100,27.7,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-22T04:50:32Z,2024-06-22T04:50:59Z,22016,1.4058,6.6859,HHE,
CAPELLA_C15_SP_CPHD_HH_20240921083038_20240921083105,27.7,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",IRISDMC,2024-09-21T08:31:05Z,2024-09-21T08:31:32Z,20480,1.5757,7.3259,HHN,
CAPELLA_C10_SP_CPHD_HH_20240622045032_20240622045100,27.7,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-22T04:50:32Z,2024-06-22T04:50:59Z,14336,1.0405,4.6865,HHN,
CAPELLA_C10_SP_CPHD_HH_20240622045032_20240622045100,27.7,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-22T04:50:32Z,2024-06-22T04:50:59Z,14336,1.1173,5.1198,HHN,
CAPELLA_C10_SP_CPHD_HH_20240622045032_20240622045100,27.7,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-22T04:50:32Z,2024-06-22T04:50:59Z,13312,3.5041,14.3457,HHE,
CAPELLA_C10_SP_CPHD_HH_20240622045032_20240622045100,27.7,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-22T04:50:32Z,2024-06-22T04:50:59Z,10240,13.4565,53.6135,HHE,
CAPELLA_C10_SP_CPHD_HH_20240831215822_20240831215849,27.1,HV,KNHD,19.379447,-155.169297,Kane Nui O Hamo,IRISDMC,2024-08-31T21:58:22Z,2024-08-31T21:58:49Z,2560,0.1188,0.6319,EHZ,
CAPELLA_C10_SP_CPHD_HH_20240705135904_20240705135931,26.9,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-05T13:59:04Z,2024-07-05T13:59:30Z,39936,1022.3302,5258.9130,HHZ,
CAPELLA_C10_SP_CPHD_HH_20240705135904_20240705135931,26.9,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-05T13:59:04Z,2024-07-05T13:59:30Z,21504,1.6857,7.6106,HHN,
CAPELLA_C10_SP_CPHD_HH_20240705135904_20240705135931,26.9,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-05T13:59:04Z,2024-07-05T13:59:30Z,19456,1.6751,6.3276,HHN,
