scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes
CAPELLA_C14_SP_CPHD_HH_20240623052958_20240623053027,28.8,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-23T05:30:27Z,2024-06-23T05:30:55Z,11776
CAPELLA_C14_SP_CPHD_HH_20240617075329_20240617075357,28.8,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-17T07:53:57Z,2024-06-17T07:54:25Z,11264
CAPELLA_C14_SP_CPHD_HH_20240617075329_20240617075357,28.8,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-17T07:53:57Z,2024-06-17T07:54:25Z,10752
CAPELLA_C14_SP_CPHD_HH_20240620064136_20240620064205,28.8,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-20T06:42:05Z,2024-06-20T06:42:33Z,10752
CAPELLA_C14_SP_CPHD_HH_20240623052958_20240623053027,28.8,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-23T05:30:27Z,2024-06-23T05:30:55Z,10752
CAPELLA_C14_SP_CPHD_HH_20240617075329_20240617075357,28.8,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-17T07:53:57Z,2024-06-17T07:54:25Z,10240
CAPELLA_C14_SP_CPHD_HH_20240626041819_20240626041848,28.7,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-26T04:18:48Z,2024-06-26T04:19:16Z,25600
CAPELLA_C14_SP_CPHD_HH_20240614090521_20240614090549,28.7,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-14T09:05:49Z,2024-06-14T09:06:17Z,23552
CAPELLA_C14_SP_CPHD_HH_20240614090521_20240614090549,28.7,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-14T09:05:49Z,2024-06-14T09:06:17Z,21504
CAPELLA_C14_SP_CPHD_HH_20240614090521_20240614090549,28.7,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-14T09:05:49Z,2024-06-14T09:06:17Z,20480
CAPELLA_C14_SP_CPHD_HH_20240626041819_20240626041848,28.7,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-26T04:18:48Z,2024-06-26T04:19:16Z,19968
CAPELLA_C14_SP_CPHD_HH_20240626041819_20240626041848,28.7,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-26T04:18:48Z,2024-06-26T04:19:16Z,19456
CAPELLA_C14_SP_CPHD_HH_20240614090521_20240614090549,28.7,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-14T09:05:49Z,2024-06-14T09:06:17Z,15360
CAPELLA_C14_SP_CPHD_HH_20240626041819_20240626041848,28.7,HV,BYL,19.412087,-155.259877,Byron's Ledge,IRISDMC,2024-06-26T04:18:48Z,2024-06-26T04:19:16Z,13824
CAPELLA_C14_SP_CPHD_HH_20240614090521_20240614090549,28.7,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-14T09:05:49Z,2024-06-14T09:06:17Z,13312
CAPELLA_C14_SP_CPHD_HH_20240614090521_20240614090549,28.7,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-14T09:05:49Z,2024-06-14T09:06:17Z,12800
CAPELLA_C14_SP_CPHD_HH_20240626041819_20240626041848,28.7,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-26T04:18:48Z,2024-06-26T04:19:16Z,12800
CAPELLA_C14_SP_CPHD_HH_20240626041819_20240626041848,28.7,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-26T04:18:48Z,2024-06-26T04:19:16Z,11776
CAPELLA_C14_SP_CPHD_HH_20240626041819_20240626041848,28.7,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-26T04:18:48Z,2024-06-26T04:19:16Z,11776
CAPELLA_C14_SP_CPHD_HH_20240626041819_20240626041848,28.7,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-26T04:18:48Z,2024-06-26T04:19:16Z,9728
CAPELLA_C14_SP_CPHD_HH_20240626041819_20240626041848,28.7,HV,SBL,19.427078,-155.267682,Steam Bluff Hawaii,IRISDMC,2024-06-26T04:18:48Z,2024-06-26T04:19:16Z,7680
CAPELLA_C14_SP_CPHD_HH_20240703155839_20240703155908,28.3,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-07-03T15:59:08Z,2024-07-03T15:59:36Z,42496
CAPELLA_C09_SP_CPHD_HH_20240620194700_20240620194728,28.3,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-20T19:47:00Z,2024-06-20T19:47:28Z,24064
CAPELLA_C09_SP_CPHD_HH_20240620194700_20240620194728,28.3,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-20T19:47:00Z,2024-06-20T19:47:28Z,23040
CAPELLA_C09_SP_CPHD_HH_20240620194700_20240620194728,28.3,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-20T19:47:00Z,2024-06-20T19:47:28Z,23040
CAPELLA_C14_SP_CPHD_HH_20240703155839_20240703155908,28.3,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-07-03T15:59:08Z,2024-07-03T15:59:36Z,19456
CAPELLA_C14_SP_CPHD_HH_20240703155839_20240703155908,28.3,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-07-03T15:59:08Z,2024-07-03T15:59:36Z,17920
CAPELLA_C14_SP_CPHD_HH_20240703155839_20240703155908,28.3,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-07-03T15:59:08Z,2024-07-03T15:59:36Z,17408
CAPELLA_C09_SP_CPHD_HH_20240620194700_20240620194728,28.3,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-20T19:47:00Z,2024-06-20T19:47:28Z,13312
CAPELLA_C09_SP_CPHD_HH_20240620194700_20240620194728,28.3,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-20T19:47:00Z,2024-06-20T19:47:28Z,12800
